name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,Vacuum,False,False,6,74.05,79.89,22.50,20.54,9.18,-0.49
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
Na2S2@NiS2,Na2S2,NiS2,Ni–Na–S,Vacuum,False,False,6,95.20,103.94,38.93,35.54,15.89,-0.48
