name,NaPS,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S-glyme-vdw,Na2S,Na–S–Na,1,113.66,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw-elecmin,Na2S,Na–S–Na,1,113.66,113.66,nan,0.00,nan,nan
Na2S-vdw,Na2S,Na–S–Na,1,115.36,115.36,nan,0.00,nan,nan
Na2S2-glyme-vdw,Na2S2,Na–S–Na,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,S–S–Na,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,S–Na–S,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw-elecmin,Na2S2,Na–S–Na,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,S–S–Na,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,S–Na–S,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-vdw,Na2S2,S–S–Na,4,64.38,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw,Na2S2,Na–S–Na,2,111.91,111.91,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,S–Na–S,2,51.25,51.25,0.00,0.00,0.00,nan
Na2S4-PC-vdw,Na2S4,S–S–S,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw-elecmin,Na2S4,S–S–S,2,113.78,113.78,0.29,0.20,0.20,nan
Na2S4-glyme-vdw,Na2S4,S–S–Na,8,78.98,79.21,11.05,10.34,3.91,-0.03
Na2S4-glyme-vdw,Na2S4,S–Na–S,6,67.91,72.44,20.92,19.10,8.54,-0.47
Na2S4-glyme-vdw,Na2S4,S–S–S,2,108.82,108.82,0.10,0.07,0.07,nan
Na2S4-glyme-vdw,Na2S4,Na–S–Na,2,84.77,84.77,0.38,0.27,0.27,nan
Na2S4-glyme-vdw-elecmin,Na2S4,S–Na–S,6,67.91,72.44,20.93,19.10,8.54,-0.47
Na2S4-glyme-vdw-elecmin,Na2S4,S–S–S,2,108.82,108.82,0.10,0.07,0.07,nan
Na2S4-glyme-vdw-elecmin,Na2S4,Na–S–Na,2,84.76,84.76,0.38,0.27,0.27,nan
Na2S4-glyme-vdw-elecmin,Na2S4,S–S–Na,8,78.98,79.21,11.05,10.34,3.91,-0.03
Na2S4-vdw,Na2S4,S–S–Na,8,77.04,77.03,10.20,9.55,3.61,0.00
Na2S4-vdw,Na2S4,Na–S–Na,2,82.48,82.48,0.01,0.01,0.01,nan
Na2S4-vdw,Na2S4,S–S–S,2,108.95,108.95,0.01,0.01,0.01,nan
Na2S4-vdw,Na2S4,S–Na–S,6,71.93,77.42,22.08,20.15,9.01,-0.53
Na2S6-PC-vdw,Na2S6,S–S–S,2,114.72,114.72,0.00,0.00,0.00,nan
Na2S6-PC-vdw-elecmin,Na2S6,S–S–S,2,113.08,113.08,0.00,0.00,0.00,nan
Na2S6-glyme-vdw,Na2S6,S–Na–S,1,95.82,95.82,nan,0.00,nan,nan
Na2S6-glyme-vdw,Na2S6,S–S–Na,3,88.69,83.22,9.64,7.87,5.56,1.73
