name,NaPS,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–S,Vacuum,False,False,138,2.3911,2.3943,0.0263,0.0262,0.0022,-8.2155
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,Ni–Na,Vacuum,False,False,2,3.1134,3.1134,0.0256,0.0181,0.0181,nan
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
Na2S2@NiS2,Na2S2,S–S,Vacuum,False,False,14,2.0824,2.0738,0.0324,0.0312,0.0087,3.7417
